id,covidence_id,pathogen,first_author_first_name,first_author_surname,article_title,doi,issue,journal,page_first,page_last,paper_copy_only,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,qa_m1,qa_m2,volume,year_publication,article_label
027e7846400ea3c6e36728afd902892d,17,Zika virus,Mazyar,Ziyaeyan,Widespread circulation of West Nile virus; but not Zika virus in southern Iran,10.1371/journal.pntd.0007022,12,PLOS Neglected Tropical Diseases,NA,NA,FALSE,NA,NA,Yes,Yes,No,Yes,Yes,12,2018,Ziyaeyan 2018
f2a3e4fbe223909633a61319bba873dd,162,Zika virus,Alexandra,Wilcox,Seroepidemiology of dengue; zika; and yellow fever viruses among children in the democratic republic of the Congo,10.4269/ajtmh.18-0156,3,American Journal of Tropical Medicine and Hygiene,756,763,FALSE,NA,NA,Yes,Yes,No,Yes,No,99,2018,Wilcox 2018
737a54d9c321db38dc3b7c4a2ad26782,174,Zika virus,N,Wikan,Immunological evidence of Zika virus transmission in Thailand,10.1016/j.apjtm.2016.01.017,2,Asian Pac J Trop Med,141,144,FALSE,Yes,No,No,No,NA,Yes,No,9,2016,Wikan 2016
741dde0cfe6543b104649671d30d25f1,212,Zika virus,K.r.,Webster-Kerr,Emergence of Zika Virus Epidemic and the National Response in Jamaica,10.7727/wimj.2016.488,1,West Indian Med J,243,249,FALSE,NA,NA,Yes,No,No,NA,NA,65,2016,Webster-Kerr 2016
02d850a072ea1dd59569aaf752da9761,223,Zika virus,A,Watts,Elevation as a proxy for mosquito-borne Zika virus transmission in the Americas,10.1371/journal.pone.0178211,5,PLoS One,NA,NA,FALSE,Yes,Yes,NA,NA,NA,Yes,Yes,12,2017,Watts 2017
4cdd4fd17b66a67ef6df4c1b397c4b12,248,Zika virus,Liping,Wang,Modeling the transmission and control of Zika in Brazil,10.1038/s41598-017-07264-y,1,Sci Rep,7721,NA,FALSE,Yes,Yes,Yes,No,Yes,Yes,Yes,7,2017,Wang 2017
a61a014f4cb51abe3475d8d0b31a9841,268,Zika virus,D.a.m.,Villela,Zika in Rio de Janeiro: Assessment of basic reproduction number and comparison with dengue outbreaks,10.1017/s0950268817000358,8,Epidemiol Infect,1649,1657,FALSE,Yes,Yes,Yes,No,Yes,Yes,Yes,145,2017,Villela 2017
ccd4f9f857a79ee26413a61b2e47752c,367,Zika virus,Wencel,Valega-Mackenzie,Can Vaccination Save a Zika Virus Epidemic,10.1007/s11538-018-0393-7,NA,Bull Math Biol,598,625,FALSE,Yes,No,NA,NA,NA,Yes,No,80,2018,Valega-Mackenzie 2018
ee934959539e091ce1336413de058608,390,Zika virus,Necibe,Tuncer,Structural and Practical Identifiability Analysis of Zika Epidemiological Models,10.1007/s11538-018-0453-z,8,Bull Math Biol,2209,2241,FALSE,Yes,Yes,Yes,No,No,Yes,No,80,2018,Tuncer 2018
b44921073b49d6abdae772e0c41017b0,422,Zika virus,S,Towers,"Estimate of the reproduction number of the 2015 Zika virus outbreak
in Barranquilla; Colombia; and estimation of the relative role of sexual
transmission",10.1016/j.epidem.2016.10.003,NA,Epidemics,50,55,FALSE,No,No,Yes,Yes,Yes,No,Yes,17,2016,Towers 2016
9c04dfe6a2f9acb363185a96d87928d1,430,Zika virus,C,Tonsing,Profile likelihood-based analyses of infectious disease models,10.1177/0962280217746444,7,Stat Methods Med Res,1979,1998,FALSE,Yes,No,No,No,No,Yes,No,27,2018,Tonsing 2018
839a729a72edf2a9f5e9389f5e5fbd07,435,Zika virus,J.,Tognarelli,A report on the outbreak of Zika virus on Easter Island; South Pacific; 2014,10.1007/s00705-015-2695-5,NA,Arch Virol,665,668,FALSE,NA,NA,Yes,NA,NA,NA,NA,161,2016,Tognarelli 2016
