id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,r_pathway,parameter_class,parameter_bounds,comb_uncertainty_type,comb_uncertainty
ebb456f8a8cdf492b72dc264501ae7ec,ed73f6419556b54130844c010aaf854c,19,SARS-CoV,Growth rate (r),0.16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Population based,General population,NA,NA,NA,China,Beijing,17,Mar-03,2003,15,May-05,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Growth rate,NA,NA,NA
ebb456f8a8cdf492b72dc264501ae7ec,62b4cf0e832abe598ea4aae8296dea8d,19,SARS-CoV,Growth rate (r),0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Population based,General population,NA,NA,NA,"Hong Kong SAR,  China",Hong Kong,17,Mar-03,2003,15,May-05,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Growth rate,NA,NA,NA
ebb456f8a8cdf492b72dc264501ae7ec,02c2d565938b35b085584fa3b7375b9e,19,SARS-CoV,Growth rate (r),0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Population based,General population,NA,NA,NA,Singapore,Singapore,17,Mar-03,2003,15,May-05,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Growth rate,NA,NA,NA
ebb456f8a8cdf492b72dc264501ae7ec,31b2f8a77ebb1488d2cd07c01d483e01,19,SARS-CoV,Reproduction number (Basic R0),2.7,0,No units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Growth rate,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Population based,General population,NA,NA,NA,Singapore,Singapore,17,Mar-03,2003,15,May-05,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Reproduction number,NA,NA,NA
ebb456f8a8cdf492b72dc264501ae7ec,0f99cec3681f24e0811559dbdc72ead7,19,SARS-CoV,Reproduction number (Basic R0),2.1,0,No units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Growth rate,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Population based,General population,NA,NA,NA,"Hong Kong SAR,  China",Hong Kong,17,Mar-03,2003,15,May-05,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Reproduction number,NA,NA,NA
ebb456f8a8cdf492b72dc264501ae7ec,563658e275c1349befafd0fb1a2b40e3,19,SARS-CoV,Reproduction number (Basic R0),3.8,0,No units,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Growth rate,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,Population based,General population,NA,NA,NA,China,Beijing,17,Mar-03,2003,15,May-05,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Reproduction number,NA,NA,NA
132135976633cd18f8017717be32c0b4,e96436939de7d11429e0a779aaf4d142,60,SARS-CoV,Mutations – substitution rate,NA,-3,Substitutions/site/year,0.8,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Persons under investigation,NA,NA,11,"Hong Kong SAR,  China, Singapore","Hong Kong, Singapore, Other",14,Apr-04,2003,29,Aug-08,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Mutations,0.8 - 2.38,NA,NA
132135976633cd18f8017717be32c0b4,03ed8e1d321dfe872806adee5592300a,60,SARS-CoV,Mutations – mutation rate,NA,-3,Substitutions/site/year,0.42,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,"Method, Region",TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Persons under investigation,NA,NA,16,"China, Hong Kong SAR,  China, Singapore","China, Hong Kong, Singapore, Other",14,Apr-04,2003,29,Aug-08,2003,NA,FALSE,NA,NA,FALSE,FALSE,NA,Mutations,0.42 - 2.38,NA,NA
132135976633cd18f8017717be32c0b4,a7cf2134fe1a16ea6c2099f5d546c79a,60,SARS-CoV,Mutations – substitution rate,NA,-3,Substitutions/site/year,0.81,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Persons under investigation,NA,NA,16,"China, Hong Kong SAR,  China, Singapore","China, Hong Kong, Singapore, Other",14,Apr-04,2003,29,Aug-08,2003,non-synonymous sites,FALSE,NA,NA,FALSE,FALSE,NA,Mutations,0.81 - 9.22,NA,NA
132135976633cd18f8017717be32c0b4,277e9d8661e0b17692e2ad621236c4ac,60,SARS-CoV,Mutations – substitution rate,NA,-3,Substitutions/site/year,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,TRUE,NA,NA,NA,NA,NA,Unspecified,Unspecified,Persons under investigation,NA,NA,16,"China, Hong Kong SAR,  China, Singapore","China, Hong Kong, Singapore, Other",14,Apr-04,2003,29,Aug-08,2003,synonymous sites,FALSE,NA,NA,FALSE,FALSE,NA,Mutations,0 - 8.5,NA,NA
