id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,parameter_class,ebola_variant,other_delay,article_qa_score
a499d565d7ba54cf72cf01e240fac1a7,081c0b3a32a08b222a560e4e80267305,30,Ebola virus,Human delay - incubation period,NA,0,Days,9.34,14.27,NA,NA,NA,9.34,14.27,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,May,2014,25,Jan,2015,NA,FALSE,NA,NA,TRUE,NA,Human delay,Unspecified,NA to NA,85.71428571428571
4c9b2434ef6c14e1b4a3aa6e5cb37d01,1143f2c5c127d884a24a24640fd8a704,30,Ebola virus,"Reproduction number (Effective, Re)",NA,0,No units,0.44,2.22,NA,NA,NA,0.44,2.22,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Compartmental model,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,May,2014,25,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,85.71428571428571
4c9b2434ef6c14e1b4a3aa6e5cb37d01,c0f3fd31921663bed4500dbc0a2c3997,30,Ebola virus,Human delay - infectious period,NA,0,Days,10.92,12.84,NA,NA,NA,10.92,12.84,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,Region;Time,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,May,2014,25,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Human delay,Unspecified,NA to NA,85.71428571428571
08298698861e18cf9664c130914ee79a,5b9703f8c6cb62d780497a2d5b6c9dfd,41,Ebola virus,Human delay - incubation period,9.2,0,Days,NA,NA,Mean,6.7,Standard deviation (Sd),2,33,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,49,Sierra Leone,Jui Government Hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,NA,NA,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),NA to NA,100
08298698861e18cf9664c130914ee79a,284f9d8943d9a1144ea007e859e65b2a,41,Ebola virus,Severity - case fatality rate (CFR),60,0,Percentage (%),NA,NA,NA,NA,NA,NA,NA,NA,51,85,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,85,Sierra Leone,Jui Government Hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,NA,NA,FALSE,NA,Severity,Zaire Ebola virus (EBOV),NA to NA,100
08298698861e18cf9664c130914ee79a,1f5fd6fe141c935d3a8acbfa77ca259a,41,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,5.8,0,Days,NA,NA,Mean,3.3,Standard deviation (Sd),NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,49,Sierra Leone,Jui Government Hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Admission to Care/Hospitalisation,100
08298698861e18cf9664c130914ee79a,e48d0be6424422c078826c1b816b47b2,41,Ebola virus,Human delay - Symptom Onset/Fever to Death,10.6,0,Days,NA,NA,Mean,3.2,Standard deviation (Sd),NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,NA,Sierra Leone,Jui Government hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,Symptom Onset/Fever,Death,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Death,100
08298698861e18cf9664c130914ee79a,a1a9956f3ac0e6ede7648d1053d1e91b,41,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Death,Age;Other,NA,Significant,Adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA to NA,100
1b332278c60304ad4d7abbcdac11f926,d816980d41a01de83b0fe202c86c5038,45,Ebola virus,Severity - case fatality rate (CFR),63,0,Percentage (%),NA,NA,Unspecified,NA,NA,60,64,CI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Mid outbreak,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberia,Montserrado county,7,Jul,2014,22,Sep,2014,NA,FALSE,NA,NA,FALSE,NA,Severity,Unspecified,NA to NA,100
1b332278c60304ad4d7abbcdac11f926,5647c118745fe956af067f9695b64e77,45,Ebola virus,"Reproduction number (Effective, Re)",1.73,0,No units,NA,NA,Unspecified,NA,NA,1.66,1.83,CI95%,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Renewal equations / Branching process,Symptoms;Other,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberia,Montserrado county,7,Jul,2014,22,Sep,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA to NA,100
0ec383a2eabff753f6184aba956228c8,f522a0cb8f9639cb16c87358545d6ffa,57,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,Death,Age;Other;Sex,Unspecified,Significant,Unspecified,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA to NA,100
0ec383a2eabff753f6184aba956228c8,ba21c980f8b358173ab3f351a3a317ff,57,Ebola virus,Severity - case fatality rate (CFR),54.7,0,Percentage (%),8.6,93.3,Unspecified,NA,NA,8.6,93.3,Range,76,139,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,Naive,NA,Age;Other;Sex;Symptoms,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Severity,Unspecified,NA to NA,100
0ec383a2eabff753f6184aba956228c8,108ba20c2b0bca8528bd373c47a694e9,57,Ebola virus,Human delay - incubation period,8.6,0,Days,7.3,12.3,Mean,6.1,Standard deviation (Sd),0,20,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,31,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Human delay,Unspecified,NA to NA,100
0ec383a2eabff753f6184aba956228c8,04fd3e5c49d75fd9df55aa4a9c1d4082,57,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,4.4,0,Days,3.8,4.9,Mean,3.5,Standard deviation (Sd),0,18,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Admission to Care/Hospitalisation,100
0ec383a2eabff753f6184aba956228c8,49de6ab16795667acd2e7f90b561931f,57,Ebola virus,Human delay - Symptom Onset/Fever to Discharge from Care/Hospital,14.4,0,Days,NA,NA,Mean,4.7,Standard deviation (Sd),3,34,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,63,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Symptom Onset/Fever,Discharge from Care/Hospital,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Discharge from Care/Hospital,100
0ec383a2eabff753f6184aba956228c8,a6d9a0471bbcb481082382bf3b07e085,57,Ebola virus,Human delay - Symptom Onset/Fever to Death,8.6,0,NA,NA,NA,NA,4.8,Standard deviation (Sd),0,27,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,76,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Symptom Onset/Fever,Death,FALSE,NA,Human delay,Unspecified,Symptom Onset/Fever to Death,100
0ec383a2eabff753f6184aba956228c8,99c42cf551f6765a27aa0def53d2d373,57,Ebola virus,Human delay - Admission to Care/Hospitalisation to Discharge from Care/Hospital,10.6,0,Days,NA,NA,Mean,4.2,Standard deviation (Sd),2,27,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,63,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Admission to Care/Hospitalisation,Discharge from Care/Hospital,FALSE,NA,Human delay,Unspecified,Admission to Care/Hospitalisation to Discharge from Care/Hospital,100
0ec383a2eabff753f6184aba956228c8,436a3ce2d36b583fb3df58a8d8e906e4,57,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,3.7,0,Days,NA,NA,Mean,2.7,Standard deviation (Sd),0,18,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Unspecified,NA,NA,76,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,NA,Human delay,Unspecified,Admission to Care/Hospitalisation to Death,100
