parameter_type_short;parameter_type_full
incubation_period_inverse;Human delay - incubation period  (inverse parameter)
reproduction_number_effective;Reproduction number (Effective, Re)
infectious period ;Human delay - infectious period
incubation_period;Human delay - incubation period
cfr;Severity - case fatality rate (CFR)
delay_onset_to_care;Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation
delay_onset_to_death;Human delay - Symptom Onset/Fever to Death
risk_factors;Risk factors
delay_onset_to_discharge;Human delay - Symptom Onset/Fever to Discharge from Care/Hospital
delay_admission_to_discharge;Human delay - Admission to Care/Hospitalisation to Discharge from Care/Hospital
delay_admission_to_death;Human delay - Admission to Care/Hospitalisation to Death
reproduction_number_basic;Reproduction number (Basic R0)
delay_onset_to_reporting;Human delay - Symptom Onset/Fever to Reporting
mutation_evolutionary_rate;Mutations - evolutionary rate
attack_rate;Attack rate
growth_rate;Growth rate (r)
serial_interval;Human delay - serial interval
delay_onset_to_diagnosis;Human delay - Symptom Onset/Fever to Diagnosis
delay_onset_to_negative_test;Human delay - Symptom Onset/Fever to Negative test
delay_onset_to_igm_detection;Human delay - Symptom Onset/Fever to IgM antibody detection
delay_onset_to_igg_detection;Human delay - Symptom Onset/Fever to IgG antibody detection
mutations_substitution_rate;Mutations – substitution rate
doubling_time;Doubling time
delay_onset_to_quarantine;Human delay - Symptom Onset/Fever to Quarantine
delay_symptom_onset_to_recovery_noninfectiousness;Human delay - Symptom Onset/Fever to Recovery/non-Infectiousness
overdispersion;Overdispersion
seroprevalence_igg;Seroprevalence - IgG
delay_admission_to_discharge;Human delay - time in care (length of stay)
latent_period;Human delay - latent period
delay_symptom_onset_to_test;Human delay - Symptom Onset/Fever to Test
delay_test_to_death;Human delay - Test to Death
delay_test_to_discharge;Human delay - Test to Discharge from Care/Hospital
delay_onset_to_careseeking;Human delay - Symptom Onset/Fever to Seeking Care
delay_exposure_to_clearance;Human delay - Exposure/Infection to Clearance of Ebola virus RNA from seminal fluid in 50% of male survivors
delay_exposure_to_clearance;Human delay - Exposure/Infection to Clearance of Ebola virus RNA from seminal fluid in 90% of male survivors
delay_exposure_to_admission;Human delay - Exposure/Infection to Admission to Care/Hospitalisation
delay_sample_to_result_released;Human delay - Sample collection to Release of sequencing data to response teams
delay_funeral_start_to_end;Human delay - Funeral start to Funeral end
delay_admission_to_recovery;Human delay - Admission to Care/Hospitalisation to Recovery/non-Infectiousness
seroprevalence_unspecified;Seroprevalence - Unspecified
delay_exposure_to_death;Human delay - Exposure/Infection to Death
seroprevalence_igM;Seroprevalence - IgM
delay_exposure_to_onset;Human delay - Exposure/Infection to Symptom Onset/Fever
tbd;Human delay - Symptom Onset/Fever to Other
latent_period_inverse;Human delay - latent period  (inverse parameter)
seroprevalence_IFA;Seroprevalence - IFA
mutation_rate;Mutations – mutation rate
delay_exposure_to_recovery;Human delay - Exposure/Infection to Recovery/non-Infectiousness
generation_time;Human delay - generation time
delay_onset_to_undetectable;Human delay - Symptom Onset/Fever to First undetectable viremia
delay_test_to_test_result;Human delay - Sample collection to Test result
delay_onset_to_test_result;Human delay - Symptom Onset/Fever to Test result
delay_test_to_test_result;Human delay - Test to Test result
delay_exposure_to_infectious_inverse;Human delay - Exposure/Infection to Infectiousness  (inverse parameter)
delay_infectious_to_recovery;Human delay - Infectiousness to Recovery/non-Infectiousness
