Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Reconstruction of Zika Virus Introduction in Brazil,"Zinszer, K.; Morrison, K.; Brownstein, J. S.; Marinho, F.; Santos, A. F.; Nsoesie, E. O.","We estimated the speed of Zika virus introduction in Brazil by using confirmed cases at the municipal level. Our models indicate a southward pattern of introduction starting from the northeastern coast and a pattern of movement toward the western border with an average speed of spread of 42 km/day or 15,367 km/year.",2017,Jan,Emerg Infect Dis,23,1,91-94,27618573,10.3201/eid2301.161274,,#20,Zinszer 2017,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; Extractor (2024-04-05 01:37:17)(Included): It was originally selected for double extraction but then removed because: no data on outbreak or transmission model; ,
Low risk of a sexually-transmitted Zika virus outbreak,"Yakob, L.; Kucharski, A.; Hue, S.; Edmunds, W. J.",,2016,Oct,Lancet Infect Dis,16,10,1100-1102,27676337,10.1016/s1473-3099(16)30324-3,,#66,Yakob 2016,"Exclusion reason: Wrong study type (comment, letter, etc); Extractor (2025-03-21 01:47:18)(Included): comment, not paper; ",
A family cluster of imported ZIKV cases: Viremia period may be longer than previously reported,"Wu, D.; Sun, J.; Zhong, H.; Guan, D.; Zhang, H.; Tan, Q.; Zhou, H.; Ning, D.; Ke, C.; Song, T.; Lin, J.; Zhang, Y.; Koopmans, M.; Gao, G. F.",,2016,Sep,J Infect,73,3,300-3,27373766,10.1016/j.jinf.2016.06.008,,#103,Wu 2016,"Exclusion reason: Wrong study type (comment, letter, etc); ",letter to the editor
Epidemiology: Molecular mapping of Zika spread,"Worobey, M.",,2017,Jun-15,Nature,546,7658,355-357,28538722,10.1038/nature22495,,#106,Worobey 2017,Exclusion reason: reports metrics from other papers (not original estimates or primary data); ,
Outbreak of Zika virus disease,"Wiwanitkit, V.",,2017,,J Res Med Sci,22,,89,28919916,10.4103/jrms.JRMS_982_16,,#127,Wiwanitkit 2017,"Exclusion reason: Wrong study type (comment, letter, etc); ",letter to the editor
Estimated number of local transmission cases of Zika virus infection imported from Brazil to France,"Wiwanitkit, S.; Wiwanitkit, V.",,2016,Oct,Asian Pac J Trop Med,9,10,1022,27794383,10.1016/j.apjtm.2016.07.032,,#142,Wiwanitkit 2016,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Predicted pattern of Zika virus infection distribution with reference to rainfall in Thailand,"Wiwanitkit, S.; Wiwanitkit, V.","Zika virus infection is the present global medical problem. The disease appears in several countries around the world. The relationship between rainfall and occurrence of Zika virus infection was previously mentioned. Here, the authors use the mathematical modeling technique to reappraise on the previous data on immunoreactivity rate of Zika virus, dengue virus and Ckikungunya virus in Thailand and the reported interrelationship between arboviral infections and rainfall in Thailand for constructing of the predicted pattern of Zika virus distribution in Thailand. This data can be a useful tool for further disease surveillance in this area.",2016,Jul,Asian Pac J Trop Med,9,7,719-20,27393105,10.1016/j.apjtm.2016.05.014,,#143,Wiwanitkit 2016,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Dynamics of Zika virus outbreaks: an overview of mathematical modeling approaches,"Wiratsudakul, A.; Suparit, P.; Modchang, C.","Background: The Zika virus was first discovered in 1947. It was neglected until a major outbreak occurred on Yap Island, Micronesia, in 2007. Teratogenic effects resulting in microcephaly in newborn infants is the greatest public health threat. In 2016, the Zika virus epidemic was declared as a Public Health Emergency of International Concern (PHEIC). Consequently, mathematical models were constructed to explicitly elucidate related transmission dynamics. Survey Methodology: In this review article, two steps of journal article searching were performed. First, we attempted to identify mathematical models previously applied to the study of vector-borne diseases using the search terms ""dynamics,"" ""mathematical model,"" ""modeling,"" and ""vector-borne"" together with the names of vector-borne diseases including chikungunya, dengue, malaria, West Nile, and Zika. Then the identified types of model were further investigated. Second, we narrowed down our survey to focus on only Zika virus research. The terms we searched for were ""compartmental,"" ""spatial,"" ""metapopulation,"" ""network,"" ""individual-based,"" ""agent-based"" AND ""Zika."" All relevant studies were included regardless of the year of publication. We have collected research articles that were published before August 2017 based on our search criteria. In this publication survey, we explored the Google Scholar and PubMed databases. Results: We found five basic model architectures previously applied to vector-borne virus studies, particularly in Zika virus simulations. These include compartmental, spatial, metapopulation, network, and individual-based models. We found that Zika models carried out for early epidemics were mostly fit into compartmental structures and were less complicated compared to the more recent ones. Simple models are still commonly used for the timely assessment of epidemics. Nevertheless, due to the availability of large-scale real-world data and computational power, recently there has been growing interest in more complex modeling frameworks. Discussion: Mathematical models are employed to explore and predict how an infectious disease spreads in the real world, evaluate the disease importation risk, and assess the effectiveness of intervention strategies. As the trends in modeling of infectious diseases have been shifting towards data-driven approaches, simple and complex models should be exploited differently. Simple models can be produced in a timely fashion to provide an estimation of the possible impacts. In contrast, complex models integrating real-world data require more time to develop but are far more realistic. The preparation of complicated modeling frameworks prior to the outbreaks is recommended, including the case of future Zika epidemic preparation.",2018,,PeerJ,6,,e4526,29593941,10.7717/peerj.4526,,#148,Wiratsudakul 2018,Exclusion reason: reports metrics from other papers (not original estimates or primary data); ,Useful review
First cases of Zika virus-infected US blood donors outside states with areas of active transmission,"Williamson, P. C.; Linnen, J. M.; Kessler, D. A.; Shaz, B. H.; Kamel, H.; Vassallo, R. R.; Winkelman, V.; Gao, K.; Ziermann, R.; Menezes, J.; Thomas, S.; Holmberg, J. A.; Bakkour, S.; Stone, M.; Lu, K.; Simmons, G.; Busch, M. P.","BACKGROUND: Zika virus (ZIKV) is transmitted by Aedes mosquitos and can result in severe congenital and adult neurologic abnormalities. ZIKV has rapidly spread northward through Central America and the Caribbean and autochthonous cases have been identified in the continental United States. High rates of ZIKA RNA positivity were detected in blood donors during previous epidemics. ZIKV transmission by transfused blood from healthy donor components has been a growing concern. STUDY DESIGN AND METHODS: Individual-donation aliquots of plasma from volunteer blood donors were tested individually with an investigational Procleix ZIKV assay. Initially reactive samples were tested for ZIKV RNA in plasma and red blood cells (RBCs) and for ZIKV-specific antibodies in serum. A confirmed positive classification required confirmation of RNA and/or detection of ZIKV antibodies in index and/or follow-up samples. RESULTS: Between September 19 and November 30, 2016, a total of 466,834 donations were screened for ZIKV RNA. Five donors (one in approx. 93,000) were reactive for ZIKV RNA by both the Procleix ZIKV assay and supplemental testing. The donations were collected outside areas considered as having active transmission, and all five donors had travel exposures. A lookback case demonstrated no infection despite transfusion of a Zika IgG-positive platelet (PLT) component with probable low levels of ZIKV RNA. CONCLUSIONS: This report describes the first ZIKV-positive donors detected outside areas with active transmission. These donors most likely represent travel-acquired ""tail-end infections"" with prolonged RBC-associated ZIKV RNA. The lack of transmission to the recipient of an apheresis PLT may suggest that these units are not infectious.",2017,Mar,Transfusion,57,3pt2,770-778,28229475,10.1111/trf.14041,,#159,Williamson 2017,Exclusion reason: no report of parameters (including seroprevalence and other measures of interest) or transmission models or historical outbreaks; ,
Zika in travellers 1947-2017: a systematic review,"Wilder-Smith, A.; Chang, C. R.; Leong, W. Y.","Introduction: Travellers contributed substantially to the rapid spread of Zika virus (ZIKV). They act as sentinel and may unmask ongoing ZIKV transmission in countries where outbreaks have not yet been reported. Our objectives were to (i) describe the burden of ZIKV infections in international travellers over time; (ii) estimate the proportion of birth defects as a result of maternal ZIKV infection in travellers; (iii) track the extent of sexual transmission; (iv) summarize ZIKV infections in returning travellers as reported by the GeoSentinel network; and (v) identify countries without reports on local ZIKV transmission where travellers served as sentinel. Methods: We performed a systematic review from 1947 to April 2017 on travel-associated ZIKV infections. We also compared published reports on autochthonous ZIKV transmission in Asia with published reports on exportations from travellers in Asia. Results: Of 314 papers that fit the inclusion criteria, 61 were eligible for final analysis. There was an exponential increase in the number of reported ZIKV infected travellers from the years 2013 to 2016, which declined in 2017. Amongst pregnant women with ZIKV infection, (5%) resulted in a fetus or infant with ZIKV-associated birth defects. An estimated 1% of the total number of ZIKV cases reported in the USA and Europe were acquired through sexual transmission. Through the GeoSentinel network, five countries (Indonesia, Philippines, Thailand, Vietnam, Cameroon) were identified as sentinel markers where ZIKV was exported despite the absence of reported local transmission. Conclusions: Mobility patterns and travel volumes can help to identify the most likely origin of importation, and also in predicting further propagation. Studies on pregnant returning travellers have contributed to a better understanding of the risk estimates of congenital Zika syndrome/microcephaly as a result of maternal ZIKV infection, and the relative contribution of sexual transmisison.",2018,Jul-01,J Travel Med,25,1,,30016469,10.1093/jtm/tay044,,#173,Wilder-Smith 2018,Exclusion reason: reports metrics from other papers (not original estimates or primary data); ,
