id,model_data_id,covidence_id,pathogen,model_type,compartmental_type,stoch_deter,theoretical_model,interventions_type,code_available,transmission_route,assumptions
ecf59a0248a980aa1a268346c172a28d,34e6c4d56a03b83dcb1d43d4730aaf2d,285,Lassa mammarenavirus,Other,Not compartmental,Stochastic,FALSE,Unspecified,TRUE,Vector/Animal to human,Heterogenity in transmission rates - between groups
a7ab005860fa1caba3ba17bae7c7ebb6,9d491ae79153d270696c5b825d35812b,558,Lassa mammarenavirus,Branching process,Not compartmental,Stochastic,FALSE,Unspecified,FALSE,Human to human (direct contact);Vector/Animal to human,Heterogenity in transmission rates - over time
dc58ccb401238d09a9ba6452086ea3ac,25427351eb44ed1a28d0b00ecaa34f18,560,Lassa mammarenavirus,Branching process,Not compartmental,Stochastic,FALSE,Unspecified,FALSE,Human to human (direct contact);Vector/Animal to human,Homogeneous mixing
08f1d841f35f85fe53aeef50919e9974,934daf6d79a34b5daf8703d83b2eb624,1410,Lassa mammarenavirus,Compartmental,Other compartmental,Deterministic,TRUE,Treatment,FALSE,Human to human (direct contact),Homogeneous mixing
045d93c8a76e88ee9edaccc10845db4f,18855910af5f5c3e2eb120d2e2180d30,2578,Lassa mammarenavirus,Compartmental,Other compartmental,Deterministic,FALSE,Behaviour changes;Treatment,FALSE,Human to human (direct contact);Vector/Animal to human,Homogeneous mixing
c6cead4f4e9802343ccbb00449f22471,a762f6f76b7f803d4cd8fb11b8dffca9,2617,Lassa mammarenavirus,Branching process,Not compartmental,Stochastic,FALSE,Unspecified,FALSE,Human to human (direct contact);Vector/Animal to human,Heterogenity in transmission rates - between groups;Heterogenity in transmission rates - over time
44abdb242ac5d81f1f402e4b6be2fc31,93da783c1ba662449efffc653659ada7,2620,Lassa mammarenavirus,Other,Not compartmental,Deterministic,FALSE,Unspecified,TRUE,Vector/Animal to human,Heterogenity in transmission rates - between groups
fa80c03c7655ca696b13c7da0205ddc1,35bb33a3bf6dd9f78fcf7d03388627ac,2707,Lassa mammarenavirus,Compartmental,Other compartmental,Deterministic,FALSE,Hospitals;Quarantine,FALSE,Human to human (direct contact);Vector/Animal to human,Homogeneous mixing
85a9dc7b79af06a6c74ef928714c8e3b,92d6ae9404719ce4082509d09140e389,2801,Lassa mammarenavirus,Compartmental,SEIR,Deterministic,TRUE,Vaccination,FALSE,Human to human (direct contact);Vector/Animal to human,Homogeneous mixing
0ae1fd290efce5a2f21b2f9a11190efb,775503e015f729052b3755f6fec372c8,3659,Lassa mammarenavirus,Compartmental,SEIR,Deterministic,TRUE,Unspecified,FALSE,Airborne or close contact;Human to human (direct contact);Vector/Animal to human,Homogeneous mixing
